,PLAYER,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG
495,Brandon Pastor,4,2,0.50,0,0.00,0,0.00,0,0.00,10,2.50,83.30,22,5.50
496,Jeremy Keusch,7,2,0.29,2,0.29,2,0.29,1,0.14,22,3.14,84.60,75,10.71
497,Mike Kobyra,4,2,0.50,1,0.25,2,0.50,2,0.50,10,2.50,76.90,31,7.75
498,Mike Pannone,3,2,0.67,1,0.33,1,0.33,4,1.33,3,1.00,100.00,39,13.00
499,Mitchell Bennett,3,2,0.67,2,0.67,1,0.33,1,0.33,22,7.33,91.70,52,17.33
500,John Jones,11,2,0.18,0,0.00,5,0.45,2,0.18,13,1.18,81.30,94,8.55
501,Jacob Mouw,8,2,0.25,4,0.50,0,0.00,1,0.13,38,4.75,90.50,85,10.63
502,Jack Hefferon,9,2,0.22,0,0.00,7,0.78,9,1.00,13,1.44,100.00,125,13.89
503,Nick Murphy,2,2,1.00,1,0.50,1,0.50,4,2.00,7,3.50,100.00,16,8.00
504,Jordan Robarge,5,2,0.40,3,0.60,2,0.40,6,1.20,15,3.00,93.80,47,9.40
505,Jeremy Hess,3,2,0.67,2,0.67,4,1.33,8,2.67,9,3.00,100.00,56,18.67
506,Jon Gibson,6,2,0.33,4,0.67,0,0.00,-1,-0.17,38,6.33,86.40,101,16.83
507,Jake Reinhardt,9,2,0.22,2,0.22,9,1.00,0,0.00,57,6.33,83.80,147,16.33
508,Saurov Dubey,7,1,0.14,1,0.14,1,0.14,2,0.29,9,1.29,90.00,74,10.57
509,Carson Turner,10,1,0.10,4,0.40,10,1.00,4,0.40,75,7.50,89.30,178,17.80
510,Colin Grandon,9,1,0.11,7,0.78,3,0.33,8,0.89,36,4.00,92.30,112,12.44
511,Connor Armstrong,2,1,0.50,0,0.00,0,0.00,0,0.00,51,25.50,98.10,29,14.50
512,Dan Vockeroth,2,1,0.50,0,0.00,1,0.50,0,0.00,2,1.00,100.00,24,12.00
513,Ed Fox,4,1,0.25,3,0.75,2,0.50,0,0.00,71,17.75,92.20,66,16.50
514,Jaime Perez,4,1,0.25,0,0.00,1,0.25,1,0.25,7,1.75,100.00,44,11.00
515,James Sykora,11,1,0.09,3,0.27,8,0.73,4,0.36,58,5.27,87.90,136,12.36
516,Jaret Meron,14,1,0.07,8,0.57,4,0.29,0,0.00,105,7.50,89.00,212,15.14
517,Jesse Evans,2,1,0.50,0,0.00,1,0.50,2,1.00,3,1.50,100.00,20,10.00
518,Jesse Jenkins,2,1,0.50,0,0.00,0,0.00,-1,-0.50,4,2.00,80.00,24,12.00
519,Josh Alorro,10,1,0.10,6,0.60,7,0.70,9,0.90,80,8.00,94.10,165,16.50
520,Josh Bush,6,1,0.17,1,0.17,2,0.33,0,0.00,10,1.67,76.90,37,6.17
521,Judah Newman,2,1,0.50,0,0.00,0,0.00,0,0.00,22,11.00,95.70,24,12.00
522,Kyle Smith,1,1,1.00,0,0.00,1,1.00,2,2.00,2,2.00,100.00,12,12.00
523,Kyle Weigand,8,1,0.13,2,0.25,1,0.13,-1,-0.13,44,5.50,93.60,90,11.25
524,Matt Bennett,8,1,0.13,25,3.13,4,0.50,-6,-0.75,230,28.75,86.50,175,21.88
525,Miguel Goderre,12,1,0.08,9,0.75,10,0.83,9,0.75,155,12.92,93.40,206,17.17
526,Paul Starkel,5,1,0.20,9,1.80,2,0.40,2,0.40,176,35.20,94.60,100,20.00
527,Phil Dougherty,5,1,0.20,1,0.20,0,0.00,2,0.40,12,2.40,100.00,71,14.20
528,Ryan Tucker,2,1,0.50,2,1.00,2,1.00,3,1.50,15,7.50,88.20,28,14.00
529,Trenton Spinks,9,1,0.11,5,0.56,2,0.22,8,0.89,57,6.33,100.00,120,13.33
530,Trey Katzenbach,1,1,1.00,0,0.00,0,0.00,1,1.00,15,15.00,100.00,9,9.00
531,Tristan Green,4,1,0.25,6,1.50,0,0.00,4,1.00,28,7.00,90.30,64,16.00
532,Von Alanguilan,1,1,1.00,0,0.00,0,0.00,1,1.00,1,1.00,100.00,12,12.00
533,William Kasprzycki,7,1,0.14,5,0.71,2,0.29,6,0.86,20,2.86,95.20,114,16.29
534,Ryan Lacy,4,1,0.25,0,0.00,1,0.25,2,0.50,6,1.50,100.00,32,8.00
535,Vikram Sethuraman,5,1,0.20,1,0.20,1,0.20,2,0.40,6,1.20,85.70,68,13.60
536,Alexandre Fall,5,1,0.20,0,0.00,3,0.60,4,0.80,10,2.00,100.00,58,11.60
